5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter,9,Atlanta GA,HR,DO,77881799,68613169,70165559,69662769,74017325,81503410,86029961,79133102,76930756,74236211,70506376,69905386,71504650,72030571,68678695,67410371,64854001,61778142,24056265,22914357,15239944
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter,9,Atlanta GA,MB,DO,72282348,68804523,67411113,70146317,69546567,64977316,72075116,70629306,65904307,61989225,60042892,60292228,61963208,62021701,58414789,56316552,51894118,51887504,32591900,26929822,16322888
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter,9,Atlanta GA,SR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134398,298374,104746,114849,92291
40078,4078,Cobb County,Active,Full Reporter,9,Atlanta GA,CB,PT,0,0,0,0,0,0,0,0,0,0,129518,428506,111480,442544,382540,330629,326286,231616,29595,4034,3980
40078,4078,Cobb County,Active,Full Reporter,9,Atlanta GA,DR,PT,59279,59486,58228,63328,68327,73484,80480,80376,82725,72081,60673,43868,14320,61364,63830,64538,60553,71300,59643,66496,29140
40078,4078,Cobb County,Active,Full Reporter,9,Atlanta GA,MB,PT,2841036,3165352,3504066,3932265,4269649,4152872,4928253,4375193,4625983,4217030,3572105,2330784,755969,2693730,2418685,2272147,2157977,2174879,1406282,1217701,469405
40082,4082,County of Douglas,Active,Full Reporter,9,Atlanta GA,DR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,11398,17232,18246,19553,17976,4428,2396,2208
40082,4082,County of Douglas,Active,Full Reporter,9,Atlanta GA,DR,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282,5420,8046,5881
40082,4082,County of Douglas,Active,Full Reporter,9,Atlanta GA,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13349,21120,15887,12658
40082,4082,County of Douglas,Inactive,Full Reporter,9,Atlanta GA,VP,DO,52893,57630,55510,94913,115293,114545,161186,172337,163829,184434,187526,180078,156402,136073,104600,80767,76701,67360,13576,0,0
