table with row headers in column A and column headers in rows 3 through 4,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2021 Population: April 1, 2020 to July 1, 2021",,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),
422,"Buena Park, California","84,173","83,968","83,011"
422,"Warwick, Rhode Island","82,976","82,960","83,011"
424,"Cranston, Rhode Island","82,935","82,833","82,566"
425,"Baytown, Texas","83,698","83,495","82,480"
426,"Largo, Florida","82,632","82,515","82,341"
427,"Johns Creek, Georgia","82,499","82,591","82,065"
428,"Longview, Texas","81,760","81,713","81,762"
429,"Redwood, California","84,234","84,180","81,643"
430,"New Rochelle, New York","79,996","80,559","81,587"
431,"Mountain View, California","82,592","82,455","81,516"
432,"Warner Robins, Georgia","80,324","80,494","81,446"
433,"Folsom, California","79,036","79,475","81,224"
434,"Alhambra, California","83,001","82,748","81,211"
435,"Gastonia, North Carolina","80,367","80,392","81,161"
436,"Lake Charles, Louisiana","85,434","85,352","81,097"
437,"Miami Beach, Florida","82,826","82,345","80,671"
438,"Flint, Michigan","81,381","81,201","80,628"
439,"Lakewood, California","82,727","82,403","80,611"
440,"Homestead, Florida","80,697","80,423","80,528"
441,"Rancho Cordova, California","79,666","79,790","80,413"
442,"South Jordan, Utah","77,661","78,082","80,139"
443,"Boynton Beach, Florida","80,401","80,631","80,089"
444,"North Port, Florida","75,175","75,816","80,021"
445,"Parma, Ohio","81,047","80,824","79,982"
446,"Lehi, Utah","76,107","77,000","79,978"
447,"Bloomington, Indiana","79,912","79,801","79,968"
448,"Perris, California","78,786","78,897","79,835"
449,"Plymouth, Minnesota","81,181","81,091","79,828"
450,"Somerville, Massachusetts","81,054","80,842","79,815"
451,"Pharr, Texas","79,779","79,836","79,697"
452,"Frederick, Maryland","78,062","78,215","79,588"
453,"Kissimmee, Florida","79,242","79,158","79,436"
454,"Tustin, California","80,142","80,023","79,430"
455,"Jonesboro, Arkansas","78,524","78,787","79,324"
456,"Upland, California","79,110","79,118","79,274"
457,"Milpitas, California","80,275","80,363","79,066"
458,"Lynchburg, Virginia","79,009","78,871","79,009"
459,"Pasco, Washington","77,579","77,856","78,871"
460,"Napa, California","79,276","79,051","78,818"
461,"Cedar Park, Texas","77,646","78,038","78,693"
462,"Chino Hills, California","78,573","78,544","78,665"
463,"Auburn, Alabama","76,000","76,429","78,564"
464,"Bloomington, Illinois","78,273","78,226","78,283"
465,"Pleasanton, California","80,421","80,201","78,252"
466,"Evanston, Illinois","79,035","78,796","77,517"
467,"Bellflower, California","79,298","79,019","77,408"
468,"Flower Mound, Texas","75,859","76,330","77,243"
469,"Loveland, Colorado","76,677","76,622","77,194"
470,"Racine, Wisconsin","77,775","77,578","77,127"
471,"Schaumburg, Illinois","78,691","78,443","77,082"
472,"Woodbury, Minnesota","75,163","75,479","76,990"
473,"Flagstaff, Arizona","76,781","76,960","76,989"
474,"Hammond, Indiana","77,754","77,607","76,984"
475,"Wyoming, Michigan","76,574","76,772","76,749"
476,"Pittsburg, California","76,439","76,600","76,544"
477,"Alameda, California","78,611","78,333","76,362"
478,"Redmond, Washington","73,375","73,422","76,354"
479,"Castle Rock, Colorado","73,012","73,700","76,353"
480,"Apple Valley, California","75,913","75,929","76,224"
481,"Rapid, South Dakota","74,194","74,350","76,184"
482,"Rochester Hills, Michigan","76,293","76,135","76,028"
483,"Arlington Heights, Illinois","77,595","77,377","76,000"
484,"Doral, Florida","75,803","76,094","75,966"
485,"Southfield, Michigan","76,579","76,367","75,898"
486,"Scranton, Pennsylvania","76,110","75,950","75,874"
487,"Bethlehem, Pennsylvania","75,710","75,629","75,624"
488,"Georgetown, Texas","66,964","68,227","75,420"
489,"Pawtucket, Rhode Island","75,842","75,721","75,387"
490,"Broomfield, Colorado","74,112","74,513","75,325"
491,"Appleton, Wisconsin","75,315","75,300","74,854"
492,"Missouri, Texas","74,244","74,380","74,850"
493,"Missoula, Montana","73,746","73,949","74,822"
494,"Iowa, Iowa","74,373","74,443","74,596"
495,"Daytona Beach, Florida","71,681","71,838","74,437"
496,"Mansfield, Texas","72,654","72,778","74,368"
497,"Bismarck, North Dakota","73,651","73,675","74,138"
498,"Rock Hill, South Carolina","73,905","74,157","74,102"
499,"New Britain, Connecticut","74,217","74,062","73,841"
500,"Bolingbrook, Illinois","73,956","73,831","73,597"
501,"Bowling Green, Kentucky","72,524","72,642","73,529"
502,"Lauderhill, Florida","74,495","74,271","73,458"
503,"Redlands, California","73,004","73,023","73,288"
504,"Kalamazoo, Michigan","73,808","73,707","73,257"
505,"Rocklin, California","71,571","71,801","72,975"
506,"Jacksonville, North Carolina","73,339","73,183","72,876"
507,"Lakeville, Minnesota","69,654","70,175","72,812"
508,"Turlock, California","72,645","72,611","72,682"
509,"Mount Vernon, New York","73,693","73,483","72,581"
510,"Gulfport, Mississippi","72,961","72,837","72,105"
511,"Greenville, South Carolina","70,633","70,899","72,095"
512,"Harlingen, Texas","71,802","71,803","71,925"
513,"Camden, New Jersey","72,001","71,976","71,773"
